available_bikes,last_update,name,latitude,longitude,available_bike_stands,bike_stands,status
11,19:49:55,HEUSTON BRIDGE (SOUTH),53.347106,-6.292041,14,25,OPEN
2,19:51:25,CATHAL BRUGHA STREET,53.352149,-6.260533,18,20,OPEN
0,19:42:57,SANDWITH STREET,53.345203,-6.247163,0,40,CLOSED
20,19:44:18,ROTHE ABBEY,53.338776,-6.30395,15,35,OPEN
8,19:51:08,PRINCES STREET / O'CONNELL STREET,53.349013,-6.260311,15,23,OPEN
18,19:50:24,UPPER SHERRARD STREET,53.358437,-6.260641,12,30,OPEN
0,19:47:17,FITZWILLIAM SQUARE EAST,53.335211,-6.2509,0,40,CLOSED
2,19:42:46,GRATTAN STREET,53.339629,-6.243778,21,23,OPEN
23,19:42:38,ST JAMES HOSPITAL (LUAS),53.341359,-6.292951,17,40,OPEN
2,19:43:58,HARCOURT TERRACE,53.332763,-6.257942,18,20,OPEN
3,19:51:15,BOLTON STREET,53.351182,-6.269859,17,20,OPEN
8,19:45:36,STRAND STREET GREAT,53.347082,-6.264192,27,35,OPEN
2,19:49:45,JERVIS STREET,53.3483,-6.266651,19,21,OPEN
15,19:47:40,ORMOND QUAY UPPER,53.346057,-6.268001,14,29,OPEN
17,19:51:02,BARROW STREET,53.341655,-6.236198,23,40,OPEN
4,19:46:23,MOUNTJOY SQUARE WEST,53.356299,-6.258586,26,30,OPEN
6,19:47:14,WILTON TERRACE,53.332383,-6.252717,14,20,OPEN
29,19:46:11,EMMET ROAD,53.340714,-6.308191,11,40,OPEN
31,19:50:49,HEUSTON BRIDGE (NORTH),53.347802,-6.292432,9,40,OPEN
17,19:46:23,LEINSTER STREET SOUTH,53.34218,-6.254485,13,30,OPEN
14,19:43:18,BLACKHALL PLACE,53.3488,-6.281637,16,30,OPEN
